Number,Project,Tracker,ParentTask,Status,Priority,Subject,Author,Assignee,Updated,Category,StartDate,DueDate,EstimatedTime,TotalEstimatedTime,Done,Created,Closed,TXEvaluate,TXResultSeparator,TXTruncateLength,TXTruncateValueLength,TXVerbatim,Private,Description,ItemNumber,ItemProject,ItemTracker,ItemParentTask,ItemStatus,ItemPriority,ItemSubject,ItemAuthor,ItemAssignee,ItemUpdated,ItemCategory,ItemStartDate,ItemDueDate,ItemEstimatedTime,ItemTotalEstimatedTime,ItemDone,ItemCreated,ItemClosed,ItemTXMandatory,ItemTXType,ItemTXLength,ItemTXIndex,ItemTXClientIdentifier,ItemTXSampleValues,ItemTXAdditionalInformation,ItemTXDisplayName,ItemTXParentLink,ItemTXRemarks,ItemTXResultSeparator,ItemTXConditionalValidation,ItemTXSubstitutions,ItemTXCardinality,ItemTXDisabled,ItemTXTruncateLength,ItemTXOriginalValueCount,ItemTXUnitOfMeasure,ItemTXTruncateValueLength,ItemTXVerbatim,ItemPrivate,ItemDescription,SectionNumber,SectionProject,SectionTracker,SectionParentTask,SectionStatus,SectionPriority,SectionSubject,SectionAuthor,SectionAssignee,SectionUpdated,SectionCategory,SectionStartDate,SectionDueDate,SectionEstimatedTime,SectionTotalEstimatedTime,SectionDone,SectionCreated,SectionClosed,SectionTXLength,SectionTXIndex,SectionTXClientIdentifier,SectionTXDisplayName,SectionTXParentLink,SectionTXSharedSection,SectionTXResultSeparator,SectionTXSubstitutions,SectionTXDisabled,SectionTXTruncateLength,SectionTXTruncateValueLength,SectionTXVerbatim,SectionPrivate,SectionDescription
323923,Staples US BB,Template expression,323913,[tx] ready,Normal,§ALL,Planio Bulk Tool,,5/18/2021 10:37:05 AM,,,,,,0,2/1/2019 10:37:08 PM,2/1/2019 10:37:08 PM,,,,,,No,"<pre><code class=""sql"">
/*
Staples cat.:Letter & Desktop Trays
AC: (0E), (MD)

Staples cat.:Keyboard Trays
vortex cat.: (DJ), (AJ), (MD), (0J)

0E (Filing & Storage)  -- 6546
MD (AV Furniture) -- 886
0J (Desk Accessories) -- 6289
DJ - OOS
AJ - 856 - Compartments Qty
DB - OOS
EI - OOS
ME - 856 - Compartments Qty
EJ - 374 (Fetures - ""% compartments%"")
4A - 7259 (Fetures - ""% compartments%"")
0F - Filing System - Compartments Qty - 5934; Filing System Details - Compartments Qty - 5971
*/

var trayCount = Coalesce(A[6546], A[886], A[6289], A[856], A[5934], A[5971]);

if (trayCount.HasValue()) {
    Add(trayCount.FirstValueOrDefault());
} else if (A[374].HasValue(""%compartment%"")){
    var num = A[374].FirstValueOrDefault().ExtractNumbers().Any() ? A[374].FirstValueOrDefault().ExtractNumbers().First() : 0;
    if (num != 0){
        Add(num);
    }
} else if (A[7259].HasValue(""%compartment%"")){
    var num = A[7259].FirstValueOrDefault().ExtractNumbers().Any() ? A[7259].FirstValueOrDefault().ExtractNumbers().First() : 0;
    if (num != 0){
        Add(num);
    }
} else if (A[8740].HasValue()){
    Add(A[8740].FirstValueOrDefault());
} else if (A[8741].HasValue() && A[8741].Values.ExtractNumbers().Any()) {
    var count = 0;
    foreach (var elem in A[8741].Values) {
        if (Coalesce(elem).ExtractNumbers().Any()) {
            count += Coalesce(elem).ExtractNumbers().First();
        }
    }
    if (count > 0) {
         Add(count);
    }
}
</code></pre>",323913,Staples US BB,Template item,316530,[tx] ready for review,Normal,# of Compartments,Planio Bulk Tool,Alexandr Kozlov,2/23/2021 2:08:57 PM,,,,,0,50,2/1/2019 10:36:46 PM,,OPTIONAL,DECIMAL,0,358200,cnet_common_SP-21897,,,,,,,,,1,,,0,,,,No,"*[{L=1}]* 
*[{I=1}]* 
*[{F=0}]*",316530,Staples US BB,Template section,0,open,Normal,COMMON,Nikolai Kretinin,,8/31/2021 8:23:46 PM,,,,,0,51,2/1/2019 4:15:09 PM,,0,0,COMMON_SECTIONS,,316141,1,,,,,,,No,
323924,Staples US BB,Template expression,323914,[tx] ready,Normal,"§2979753164550 -- Commercial Office Desks, §2372110147142173 -- Carts & Stands",Planio Bulk Tool,,2/27/2020 4:11:28 PM,,,,,,0,2/1/2019 10:37:11 PM,2/1/2019 10:37:11 PM,,,,,,No,"<pre><code class=""sql"">

/* 

# of Drawers
4A|4C|4K|MD

Category Carts & Stands ('MD' - AV Furniture, '4C' - Storage Furniture, '4A' - Surfaces, 'EJ' - Output Accessories, 'ME' - Carrying Cases, 'AJ' - System Accessories)
Category Commercial Office Desks ('4A' - Surfaces)
*/


/*
A[694] Packaged Quantity
*/


/*4A|4C|MD*/
var DrawersQty = Coalesce(A[7439], A[7251]); // Drawers Qty
if(DrawersQty.Values.ExtractNumbers().Any()){
    Add(DrawersQty.Values.ExtractNumbers().First());
}
/*4K*/
if (A[7415].HasValue(""%drawer%""))

{
    Add(A[694].Values.ExtractNumbers());
}

</code></pre>",323914,Staples US BB,Template item,316530,[tx] ready for review,Normal,# of Drawers,Planio Bulk Tool,Yuliia Marushchenko,3/16/2021 10:51:21 AM,,,,,0,50,2/1/2019 10:36:48 PM,,OPTIONAL,DECIMAL,0,358300,cnet_common_SP-12515,,,,,,,,,1,,,0,,,,No,"*[{L=1}]* 
*[{I=1}]* 
*[{F=0}]*",316530,Staples US BB,Template section,0,open,Normal,COMMON,Nikolai Kretinin,,8/31/2021 8:23:46 PM,,,,,0,51,2/1/2019 4:15:09 PM,,0,0,COMMON_SECTIONS,,316141,1,,,,,,,No,
323935,Staples US BB,Template expression,323925,[tx] ready,Normal,"§2979753164550 -- Commercial Office Desks ",Planio Bulk Tool,,3/2/2020 9:44:33 AM,,,,,,0,2/1/2019 10:37:31 PM,2/1/2019 10:37:31 PM,,,,,,No,"<pre><code class=""sql"">

//Category Commercial Office Desks ('4A' - Surfaces)

var FileDrawersQty = A[7252]; // Suspension File Drawers Qty
if(FileDrawersQty.HasValue() && FileDrawersQty.Values.ExtractNumbers().Max() > 0){
Add(FileDrawersQty.Values.ExtractNumbers().First());
}

//4C--no match 

//4K - empty 

//MD - empty


</code></pre>",323925,Staples US BB,Template item,316530,[tx] ready for review,Normal,# of File Drawers,Planio Bulk Tool,Yuliia Marushchenko,3/16/2021 10:51:24 AM,,,,,0,50,2/1/2019 10:37:13 PM,,OPTIONAL,TEXT,0,358400,cnet_common_SP-1046,,,,,,,,,1,,,0,,,,No,"*[{L=1}]* 
*[{I=1}]* 
*[{F=0}]*",316530,Staples US BB,Template section,0,open,Normal,COMMON,Nikolai Kretinin,,8/31/2021 8:23:46 PM,,,,,0,51,2/1/2019 4:15:09 PM,,0,0,COMMON_SECTIONS,,316141,1,,,,,,,No,
323936,Staples US BB,Template expression,323926,[tx] ready,Normal,"§135391203140674 --Pocket Folders ",Planio Bulk Tool,,4/5/2021 5:27:21 PM,,,,,,0,2/1/2019 10:37:34 PM,2/6/2019 2:10:57 PM,,,,,,No,"<pre><code class=""sql"">

/*1 Pocket|13 Pocket|3 Pocket|14 Pocket|21 Pocket|26 Pocket|5 Pocket|6 Pocket|7 Pocket|2 Pocket|4 Pocket|None|10 Pocket|12 Pocket|24 Pocket|8 Pocket|19 Pocket
  1 Pocket|13 Pocket|3 Pocket|14 Pocket|21 Pocket|26 Pocket|5 Pocket|6 Pocket|7 Pocket|2 Pocket|4 Pocket|None|10 Pocket|12 Pocket|24 Pocket|8 Pocket|19 Pocket|9 Pocket
Category  Pocket Folders ('0E' - Filing & Storage, 'DJ' - Input Accessories)
*/
var ManufProdType = A[5921]; // Manufacturers Product Type
var CompartmentsQty = A[6546]; // Compartments Qty
var Qty = CompartmentsQty.HasValue() ? CompartmentsQty.Values.ExtractNumbers().Max() : 0;
var CompartmentType = A[5965]; // Filing System Details - Compartment Type
var CompartmentTypeQty = A[5971]; // Filing System Details - Compartments Qty
/*var CompartmentsQtySet = Coalesce(CompartmentType.Where(""%pocket%"").Match(CompartmentTypeQty).Values().Flatten("", ""));
var PocketQty = CompartmentsQtySet.HasValue() ? CompartmentsQtySet.Replace(""CD pocket - <NULL>"", """").Replace(""- <NULL>"", ""1"")
                .ExtractNumbers().Sum() : 0;*/
var repeatingSets = new List<ProductAttribute>(){
        CompartmentType, 
        CompartmentTypeQty
}; 
var separators = new List<string>(){"" x ""};
var compartmentMatch = MatchValueWithUnit(repeatingSets, separators).Flatten(""|"");
var PocketQty = 0;
if(compartmentMatch.HasValue())
{
    foreach (var u in compartmentMatch.Split(""|""))
    {
        var u0 = u.Split("" x "")[0].ToString();
        var u1 = Coalesce(u.Split("" x "")[1].ToString().Replace(""<>"",""1""));
        if (u0 == ""compartment"" && u1.ExtractNumbers().Any())
        {
            PocketQty += u1.ExtractNumbers().First();
        }
    }
}
var result = """";
if(ManufProdType.HasValue(""%two-pocket%"", ""%twin pocket%"")){
    result = ""2 Pocket"";
}
else if(ManufProdType.HasValue(""%trifold%"")){
    result = ""3 Pocket"";
}
else if(ManufProdType.HasValue(""%six-pocket%"")){
    result = ""6 Pocket"";
}
else{
    var listNumbers = new List<int>{1,2,3,4,5,6,7,8,9,10,12,13,14,19,21,24,26};
    foreach (int valInt in listNumbers){
        if(ManufProdType.HasValue($""%{valInt}-pocket%"") || Qty == valInt || PocketQty == valInt) {
            result = $""{valInt} Pocket"";
            break;
        }
    }
}
if(result == """"){
    var PackageContent = A[5923];//Filing System - Package Content
    var qty2 = PackageContent.FirstValueOrDefault().ExtractNumbers().Any() ? PackageContent.FirstValueOrDefault().ExtractNumbers().First() : 0;
    if (PackageContent.HasValue(""%folder%"")){
        var valueList = ""1 Pocket|13 Pocket|3 Pocket|14 Pocket|21 Pocket|26 Pocket|5 Pocket|6 Pocket|7 Pocket|2 Pocket|4 Pocket|None|10 Pocket|12 Pocket|24 Pocket|8 Pocket|19 Pocket|9 Pocket"";
        if (valueList.Contains($""{qty2} Pocket"")) {
            result = $""{qty2} Pocket"";
        }
    }
}
if (result!="""") {
    Add(result);
} else {
    Add(""None"");
}

List<string> MatchValueWithUnit(List<ProductAttribute> Sets, List<string> Separators,bool US=false){
    var d = new Dictionary<int, string>();
    int i = 0;
    string v="""";
    int innerJ = -1;
    bool isNull = true;
    Sets.ForEach(attr => {
        if (attr.HasValue()){
            foreach (var attrValue in attr.GetValuesWithUnits()){
                innerJ = -1;
                i = attrValue.Value.SetNo;
                if (!(d.ContainsKey(i))){
                Sets.ForEach(attr2 => {
                    isNull = true;
                     if (attr2.HasValue()){
                         foreach (var attrValue2 in attr2.GetValuesWithUnits()){   
                             if (attrValue2.Value.SetNo==i){
                                 isNull= false;
                                 if (US && attrValue2.Value.ValueUSM!=""""){
                                     v =attrValue2.Value.ValueUSM+""""+attrValue2.Unit.NameUSM;
                                 }
                                 else {
                                     v =attrValue2.Value.Value(""en"")+""""+attrValue2.Unit.GetName(""en"");
                                 }
                                 if(d.ContainsKey(i)){
                                     d[i] = $""{d[i]}{(innerJ >= 0 ? Separators[innerJ] : """")}{v}"";
                                     isNull= false;
                                    }
                                 else{
                                     d.Add(i, v);
                                     isNull= false;
                                    }
                                }
                            }
                     }
                     if(isNull){
                        if(d.ContainsKey(i)){
                            d[i] = $""{d[i]}{(innerJ >= 0 ? Separators[innerJ] : """")}<>"";
                            isNull= false;
                        }
                        else{
                            v=$""{(innerJ >= 0 ? Separators[innerJ] : """")}<>"";
                            d.Add(i, v);
                            isNull= false;
                        }
                    }
                    innerJ++;
                });
                }
            }
        }
    });
    return d.Values.ToList();
}

</code></pre>",323926,Staples US BB,Template item,316530,[tx] ready for review,Normal,# of Pockets,Planio Bulk Tool,Yuliia Marushchenko,4/5/2021 5:28:04 PM,,,,,0,50,2/1/2019 10:37:15 PM,,OPTIONAL,LIST,0,358500,cnet_common_SP-22710,1 Pocket|13 Pocket|3 Pocket|14 Pocket|21 Pocket|26 Pocket|5 Pocket|6 Pocket|7 Pocket|2 Pocket|4 Pocket|None|10 Pocket|12 Pocket|24 Pocket||8 Pocket|19 Pocket|9 Pocket,,,,,,,,1,,,10,,,,No,"*[{L=1}]* 
*[{I=1}]* 
*[{F=0}]*",316530,Staples US BB,Template section,0,open,Normal,COMMON,Nikolai Kretinin,,8/31/2021 8:23:46 PM,,,,,0,51,2/1/2019 4:15:09 PM,,0,0,COMMON_SECTIONS,,316141,1,,,,,,,No,
323937,Staples US BB,Template expression,323927,[tx] ready,Normal,§168339301865141829  -- Bath Tissue,Planio Bulk Tool,,11/9/2020 3:33:50 PM,,,,,,0,2/1/2019 10:37:36 PM,2/1/2019 10:37:36 PM,,,,,,No,"<pre><code class=""sql"">

/*
Bath Tissue & Dispensers --§168339301865141829
 Category = '2D' - Hygiene
*/

//2D|2B|4C|SJ

var NumberOfSheets = A[6186]; //Sheets Qty
if(NumberOfSheets.HasValue()){
    Add(NumberOfSheets.Values);
}


//------------------------------------------------
//4C

var cap = A[7290];
double result = 0;

foreach(var val in cap.Values)
    {
        if (val.HasValue(""%sheet%"") && val.Value().ExtractNumbers().Any())
        {
            Add(val.Value().ExtractNumbers());
            
        }
    }
    
//------------------------------------------------
//SJ--only napkins

var type = A[6793]; //type
var result2 = A[694];

if (type.HasValue(""%napkin%"") && result2.HasValue())
{
    Add(result2.Values);
}

</code></pre>",323927,Staples US BB,Template item,316530,[tx] ready for review,Normal,# of sheets,Planio Bulk Tool,Yuliia Marushchenko,3/16/2021 10:51:26 AM,,,,,0,50,2/1/2019 10:37:17 PM,,OPTIONAL,TEXT,0,358600,cnet_common_SP-601,,,,,,,,,1,,,0,,,,No,"*[{L=1}]* 
*[{I=1}]* 
*[{F=0}]*",316530,Staples US BB,Template section,0,open,Normal,COMMON,Nikolai Kretinin,,8/31/2021 8:23:46 PM,,,,,0,51,2/1/2019 4:15:09 PM,,0,0,COMMON_SECTIONS,,316141,1,,,,,,,No,
323938,Staples US BB,Template expression,323928,[tx] ready,Normal,§1221973142133  -- Letter & Desktop Trays,Planio Bulk Tool,,6/21/2019 11:21:57 PM,,,,,,0,2/1/2019 10:37:38 PM,2/1/2019 10:37:38 PM,,,,,,No,"<pre><code class=""sql"">

/*
Letter & Desktop Trays -- §1221973142133
Category = '0E' -- Filing & Storage
5932 - Drawers Qty
5933 - Shelves Qty
Category = 'MD' -- AV Furniture
7439 - Drawers Qty
*/

var TraysQty = Coalesce(A[5932], A[5933], A[7439]);
if(TraysQty.HasValue()){
    Add(TraysQty.Values.ExtractNumbers().First());
}

</code></pre>",323928,Staples US BB,Template item,316530,[tx] ready for review,Normal,# of Trays,Planio Bulk Tool,Yuliia Marushchenko,3/16/2021 10:51:30 AM,,,,,0,50,2/1/2019 10:37:18 PM,,OPTIONAL,TEXT,0,358700,cnet_common_SP-23806,,,,,,,,,1,,,0,,,,No,"*[{L=1}]* 
*[{I=1}]* 
*[{F=0}]*",316530,Staples US BB,Template section,0,open,Normal,COMMON,Nikolai Kretinin,,8/31/2021 8:23:46 PM,,,,,0,51,2/1/2019 4:15:09 PM,,0,0,COMMON_SECTIONS,,316141,1,,,,,,,No,
323939,Staples US BB,Template expression,323929,[tx] ready,Normal,§1683366810971220882  --Floor Finish Applicators,Planio Bulk Tool,,11/9/2020 2:14:15 PM,,,,,,0,2/1/2019 10:37:40 PM,2/1/2019 10:37:40 PM,,,,,,No,"<pre><code class=""sql"">



</code></pre>",323929,Staples US BB,Template item,316530,[tx] out of scope,Normal,% Solids,Planio Bulk Tool,Dmytro Kurylo,3/16/2021 10:51:35 AM,,,,,0,100,2/1/2019 10:37:20 PM,6/14/2019 9:49:26 AM,OPTIONAL,TEXT,0,358800,cnet_common_SP-24162,,,,,,,,,1,,,0,,,,No,"*[{L=1}]* 
*[{I=1}]* 
*[{F=0}]*",316530,Staples US BB,Template section,0,open,Normal,COMMON,Nikolai Kretinin,,8/31/2021 8:23:46 PM,,,,,0,51,2/1/2019 4:15:09 PM,,0,0,COMMON_SECTIONS,,316141,1,,,,,,,No,
323940,Staples US BB,Template expression,323930,[tx] ready,Normal,§5435445243161518 §5435445243142044 §5435445243167883 §543544524340300  -- Printers,Planio Bulk Tool,,6/21/2019 11:21:51 PM,,,,,,0,2/1/2019 10:37:43 PM,2/1/2019 10:37:43 PM,,,,,,No,"<pre><code class=""sql"">

/*
All-in-One Printers

Printers (ED) -- 10753

Multifunction & Office Machines (OA)

--8601 document feeder
--2710 type document handing tray

*/

var adf = Coalesce(A[10753], A[8601], A[2710]);
var RADF = A[2778].HasValue(""yes"") ? true : false;

if (adf.HasValue(""%adf"") && RADF == true) {
  Add(""RADF"");  
}
else if (adf.HasValue(""ADF""))
{
    Add(""ADF"");
}


</code></pre>",323930,Staples US BB,Template item,316530,[tx] ready for review,Normal,(ADF)- Auto Document Feeder,Planio Bulk Tool,Alexandr Kozlov,3/16/2021 10:51:38 AM,,,,,0,50,2/1/2019 10:37:22 PM,,OPTIONAL,TEXT,0,358900,cnet_common_SP-4544,,,,,,,,,1,,,0,,,,No,"*[{L=1}]* 
*[{I=1}]* 
*[{F=0}]*",316530,Staples US BB,Template section,0,open,Normal,COMMON,Nikolai Kretinin,,8/31/2021 8:23:46 PM,,,,,0,51,2/1/2019 4:15:09 PM,,0,0,COMMON_SECTIONS,,316141,1,,,,,,,No,
323941,Staples US BB,Template expression,323931,[tx] ready,Normal,§3364010221167289  -- Laptops,Planio Bulk Tool,,6/21/2019 11:21:44 PM,,,,,,0,2/1/2019 10:37:45 PM,2/1/2019 10:37:45 PM,,,,,,No,"<pre><code class=""sql"">

/*
2-in-1|Not 2-in-1
Laptops - §3364010221167289
6438 - Mechanical Design
*/

var MechanicalDesign = A[6438];
if(MechanicalDesign.HasValue()){
    Add(""2-in-1"");
}

</code></pre>",323931,Staples US BB,Template item,316530,[tx] ready for review,Normal,2-in-1,Planio Bulk Tool,Yuliia Marushchenko,2/6/2019 5:55:32 PM,,,,,0,50,2/1/2019 10:37:24 PM,,OPTIONAL,LIST,0,359000,cnet_common_SP-350809,2-in-1|Not 2-in-1,,,,,,,,1,,,2,,,,No,"*[{L=1}]* 
*[{I=1}]* 
*[{F=0}]*",316530,Staples US BB,Template section,0,open,Normal,COMMON,Nikolai Kretinin,,8/31/2021 8:23:46 PM,,,,,0,51,2/1/2019 4:15:09 PM,,0,0,COMMON_SECTIONS,,316141,1,,,,,,,No,
323942,Staples US BB,Template expression,323932,[tx] ready,Normal,"§1114953140896--Markers ",Planio Bulk Tool,,3/2/2020 11:31:44 AM,,,,,,0,2/1/2019 10:37:47 PM,2/1/2019 10:37:47 PM,,,,,,No,"<pre><code class=""sql"">

/*
Fine|Medium|Extra Fine|Large|Fine-broad|Broad|Standard
§1114953140896--Markers 
'OC' Writing & Drawing Tools
5984 - 2nd Line Width
5997 - Tool Set - Type
5981 - Line Width 
*/

var secondLineWidth = A[5984];
var type = A[5997];
var lineWidth = A[5981];
if (secondLineWidth.HasValue(""Fine"", ""Medium"" ,""Extra Fine"", ""Large"", ""Fine-broad"", ""Broad"", ""Standard"")){
    Add(secondLineWidth.FirstValue().ToTitleCase());
} 
else if (type.HasValue(""twin-tip%"") && lineWidth.HasValue(""Fine"", ""Medium"" ,""Extra Fine"", ""Large"", ""Fine-broad"", ""Broad"", ""Standard"")){
Add(lineWidth.FirstValue().ToTitleCase());
}


//OG-----------------------------------------
 //- is empty
</code></pre>",323932,Staples US BB,Template item,316530,[tx] ready for review,Normal,2nd Marker Line Width,Planio Bulk Tool,Yuliia Marushchenko,3/16/2021 10:51:44 AM,,,,,0,50,2/1/2019 10:37:26 PM,,OPTIONAL,LIST,0,359100,cnet_common_SP-350751,Fine|Medium|Extra Fine|Large|Fine-broad|Broad|Standard,,,,,,,,1,,,7,,,,No,"*[{L=1}]* 
*[{I=1}]* 
*[{F=0}]*",316530,Staples US BB,Template section,0,open,Normal,COMMON,Nikolai Kretinin,,8/31/2021 8:23:46 PM,,,,,0,51,2/1/2019 4:15:09 PM,,0,0,COMMON_SECTIONS,,316141,1,,,,,,,No,
